Row,Model I,Model II,Model III,Model IV,Model V,Model VI
Delta\_C\_lag1,-0.41***,-0.41***,,-0.41***,,-0.41***
Delta\_C\_lag2,-0.33***,-0.33***,,-0.33***,,-0.33***
Delta\_C\_lag3,-0.11***,-0.11***,,-0.11***,,-0.11***
Delta\_Z,,0.38***,,0.38***,,0.40***
Delta\_r,,0.11,,0.14,,0.13
ect\_lag1,-0.04***,-0.04***,,-0.04***,,-0.04***
WTI,,,-0.00,-0.00,-0.00,-0.00
SPX,,,,,0.00,0.00
VIX,,,,,0.00,-0.00
Volatility,,,,,0.00,0.00
(Intercept),0.00,0.00,-0.00,0.00,-0.00,0.00
Obs,1993,1993,1993,1993,1993,1993
BIC,-19206,-19200,-18788,-19193,-18766,-19172
AIC,-19234,-19239,-18799,-19238,-18794,-19233
